Aspect,Curvature,Earthquake,Elevation,Lithology,NDVI,NDWI,Plan,Precipitation,Profile,Slope,temperature,moisture,Landslide
2.666666667,3.666666667,2.0,1.333333333,2,4.0,2.0,3.666666667,3.666666667,2.666666667,3.333333333,22.73280667,31.86946667,0
1.666666667,3.0,1.666666667,3.666666667,3,1.666666667,4.0,3.333333333,3.0,3.666666667,2.333333333,23.87625667,26.65013333,0
3.666666667,3.0,2.333333333,2.333333333,2,3.666666667,2.0,3.0,3.666666667,3.0,2.0,19.43247667,48.2619,0
2.666666667,2.666666667,2.333333333,2.333333333,1,3.0,3.0,3.0,3.666666667,3.333333333,3.333333333,22.16217667,20.842,0
2.666666667,3.333333333,1.666666667,3.0,3,2.666666667,3.333333333,3.0,2.666666667,3.0,3.0,18.65205333,20.70796667,0
3.666666667,2.333333333,2.333333333,2.666666667,2,3.333333333,2.666666667,2.333333333,4.666666667,3.333333333,3.0,21.86331667,26.4709,0
2.666666667,3.0,2.333333333,2.0,1,2.0,3.666666667,3.333333333,5.0,3.333333333,3.0,21.18759,42.09336667,0
1.333333333,3.333333333,2.666666667,2.666666667,2,2.666666667,4.0,3.666666667,5.0,3.0,2.0,23.70063667,16.66666667,0
3.666666667,2.666666667,2.0,1.666666667,2,3.666666667,2.333333333,3.0,3.666666667,3.333333333,2.666666667,20.01450333,34.63393333,0
1.666666667,1.666666667,2.333333333,1.666666667,1,3.333333333,3.0,1.666666667,4.333333333,4.0,2.666666667,22.54895,64.38666667,0
3.0,3.0,2.0,3.333333333,2,3.666666667,2.0,3.666666667,3.333333333,3.333333333,3.333333333,22.80176667,68.48736667,1
3.333333333,3.666666667,1.666666667,2.666666667,1,2.666666667,3.0,2.666666667,3.0,2.0,1.333333333,21.67821667,19.30496667,0
2.333333333,3.0,2.333333333,2.666666667,2,3.333333333,2.666666667,3.333333333,3.666666667,3.333333333,2.666666667,18.66235333,46.25043333,1
2.333333333,2.333333333,2.0,1.666666667,1,3.0,2.333333333,2.666666667,4.0,4.0,3.0,22.67667333,36.54663333,0
3.333333333,1.666666667,2.0,4.333333333,3,1.333333333,4.333333333,2.0,3.333333333,4.0,3.666666667,22.49106333,18.92306667,0
1.333333333,2.0,2.333333333,3.0,2,1.666666667,4.333333333,2.333333333,4.333333333,4.0,3.666666667,24.86173,53.83523333,0
3.333333333,4.0,2.0,2.0,2,3.666666667,2.666666667,3.666666667,3.666666667,2.666666667,2.333333333,21.05262333,8.038066667,0
4.333333333,2.333333333,2.333333333,2.666666667,3,1.666666667,4.333333333,2.0,4.0,3.0,3.0,14.13157,50.04543333,1
2.666666667,2.0,2.666666667,2.0,1,2.0,3.666666667,2.333333333,4.333333333,4.0,3.0,22.08137333,43.2377,0
3.333333333,3.0,2.0,2.0,2,3.666666667,2.333333333,3.333333333,3.666666667,3.333333333,2.333333333,23.05181667,55.48123333,0
4.333333333,3.333333333,1.666666667,1.666666667,1,3.0,2.666666667,4.0,2.666666667,3.333333333,2.666666667,18.78026667,3.901766667,0
3.0,3.333333333,2.0,2.0,1,3.333333333,2.666666667,3.333333333,4.0,3.666666667,3.0,21.80839,54.3568,0
2.0,3.0,1.333333333,3.0,2,3.666666667,2.333333333,3.0,2.0,3.0,4.0,23.23404,54.3239,0
3.0,3.333333333,2.666666667,3.0,2,3.0,3.0,3.0,4.0,3.333333333,2.333333333,24.768,22.0233,0
4.0,3.333333333,2.0,2.333333333,2,4.333333333,1.666666667,3.333333333,3.666666667,3.0,1.666666667,19.03088333,20.04546667,0
4.0,2.0,2.333333333,2.0,3,2.0,3.666666667,2.0,4.0,3.666666667,2.0,21.01603667,55.66666667,0
1.666666667,3.333333333,2.0,2.666666667,3,2.666666667,2.666666667,3.666666667,3.0,3.333333333,3.666666667,23.28081333,25.78006667,0
1.666666667,3.333333333,2.0,1.666666667,3,3.333333333,2.666666667,3.333333333,3.666666667,3.333333333,2.666666667,23.72404333,18.64006667,0
4.333333333,3.0,2.0,2.0,1,3.666666667,2.666666667,3.0,4.0,3.0,1.666666667,21.73906667,41.6929,0
2.666666667,2.0,1.666666667,1.666666667,2,3.333333333,2.666666667,2.333333333,3.666666667,3.666666667,1.666666667,18.43647667,29.12456667,0
1.666666667,3.666666667,2.666666667,2.333333333,2,2.333333333,3.666666667,3.666666667,4.666666667,2.333333333,2.666666667,22.08500333,33.51063333,0
2.333333333,2.666666667,1.333333333,3.333333333,1,2.333333333,3.666666667,3.0,2.333333333,4.333333333,2.666666667,22.18893333,28.73556667,0
2.333333333,3.333333333,2.333333333,3.333333333,2,3.0,3.0,3.666666667,3.333333333,3.0,2.666666667,23.46364,48.4825,0
3.666666667,3.0,2.333333333,3.333333333,1,4.0,1.666666667,3.0,4.0,3.333333333,3.333333333,18.66257,45.12913333,1
3.333333333,3.0,2.333333333,2.0,1,3.333333333,2.333333333,3.333333333,4.333333333,3.333333333,2.666666667,17.78444333,18.12206667,0
3.0,4.0,1.666666667,2.333333333,2,4.333333333,1.333333333,4.0,2.666666667,2.666666667,2.666666667,23.81934667,40.45786667,0
2.666666667,2.666666667,2.333333333,3.0,3,3.0,3.333333333,2.333333333,4.666666667,3.333333333,2.666666667,16.54203667,28.40663333,0
4.0,1.666666667,2.0,3.333333333,4,2.0,3.666666667,2.333333333,3.333333333,4.666666667,3.333333333,20.82174333,52.6397,0
3.666666667,3.333333333,2.333333333,2.333333333,1,2.666666667,3.333333333,3.666666667,4.0,3.0,3.666666667,22.22608,12.8622,0
2.0,4.0,2.666666667,3.666666667,3,2.333333333,3.666666667,3.666666667,4.333333333,2.333333333,2.333333333,22.53789,22.24646667,0
2.333333333,2.666666667,2.666666667,2.0,1,2.0,4.0,2.0,4.333333333,3.0,2.666666667,19.79271667,18.62476667,0
3.333333333,3.666666667,2.666666667,3.666666667,3,2.333333333,3.666666667,3.666666667,4.333333333,2.333333333,3.0,20.56014,52.20166667,0
3.666666667,3.666666667,2.333333333,3.333333333,3,1.666666667,4.333333333,4.0,4.0,3.0,2.666666667,19.65716,57.06656667,1
2.0,3.0,2.0,2.666666667,2,1.666666667,4.666666667,3.0,3.666666667,3.0,3.0,19.04482,33.47333333,0
2.666666667,2.333333333,1.666666667,2.333333333,2,3.666666667,2.333333333,2.333333333,3.666666667,3.666666667,3.0,18.58492333,43.30296667,0
3.0,2.333333333,1.666666667,1.666666667,1,3.333333333,2.666666667,2.333333333,3.333333333,4.333333333,1.333333333,17.71819,43.07616667,0
3.0,2.333333333,2.0,3.666666667,3,2.666666667,3.0,2.0,3.666666667,3.666666667,3.333333333,24.06966667,11.31523333,0
2.666666667,3.0,2.333333333,2.333333333,1,4.0,2.333333333,3.0,4.0,3.0,2.0,17.95598333,49.60883333,0
1.666666667,3.333333333,1.333333333,2.666666667,2,4.666666667,1.666666667,3.333333333,2.0,2.666666667,2.333333333,19.81652333,0.002433333,0
3.0,3.0,2.333333333,2.0,1,3.666666667,2.333333333,3.0,3.666666667,3.333333333,3.333333333,17.47589,20.0063,0
3.0,3.333333333,2.0,2.0,3,5.0,1.333333333,3.666666667,2.666666667,3.333333333,2.0,24.76925333,14.0994,0
3.666666667,2.666666667,2.0,2.333333333,2,2.333333333,3.666666667,2.666666667,4.0,3.666666667,3.333333333,17.55751333,21.54836667,0
2.666666667,3.333333333,2.666666667,2.333333333,1,3.0,2.666666667,3.0,5.0,2.333333333,2.666666667,26.03473333,33.4562,0
3.0,2.666666667,1.666666667,2.0,1,3.666666667,2.0,3.333333333,2.666666667,3.666666667,2.0,15.53872,32.134,0
2.0,4.0,2.333333333,1.666666667,2,2.666666667,3.666666667,4.0,4.333333333,2.333333333,1.666666667,24.62620333,40.02016667,0
2.333333333,4.333333333,1.0,2.0,2,4.666666667,1.666666667,4.333333333,1.666666667,2.333333333,2.333333333,19.55027667,24.30303333,0
2.666666667,2.666666667,1.666666667,2.333333333,3,2.666666667,3.666666667,2.666666667,2.666666667,3.333333333,2.333333333,21.10776333,67.28806667,0
3.333333333,2.666666667,2.666666667,4.0,2,3.0,2.666666667,2.666666667,4.333333333,3.333333333,2.666666667,22.42373333,28.25253333,0
